AnlagenschlÃ¼ssel;Ãœbertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;EnergietrÃ¤ger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;BundeslandkÃ¼rzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;FlurstÃ¼ck
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.2;nein;;;nein;null;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.25;nein;;;nein;null;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.9;nein;;;nein;null;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.92;nein;;;nein;null;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004858200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.3;nein;;;nein;null;30.11.2010;;;;SN;Leipzig;;04249;Nimrodstr.;60;;
E40770010000010000000004858200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.32;nein;;;nein;null;30.11.2010;;;;SN;Leipzig;;04249;Nimrodstr.;60;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004857600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.6;nein;;;nein;null;28.10.2010;;;;SN;Leipzig;;04229;Weißenfelser Str.;33;;
E40770010000010000000004857600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.63;nein;;;nein;null;28.10.2010;;;;SN;Leipzig;;04229;Weißenfelser Str.;33;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Fehler;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000005931;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Wind;MS;1.545.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;26.04.1999;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Windpark;953;;
E41081010000000000000000000005931;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Windenergie;MS;1545;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;26.04.1999;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Windpark;953;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000000496700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.1;nein;;;nein;null;22.05.2003;;;;SN;Leipzig;;04159;Defoestr.;5;;
E40770010000010000000000496700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.13;nein;;;nein;null;22.05.2003;;;;SN;Leipzig;;04159;Defoestr.;5;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000000559400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.9;nein;;;nein;null;09.06.2003;;;;SN;Leipzig;;04275;R.-Lehmann-Str.;8;;
E40770010000010000000000559400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.92;nein;;;nein;null;09.06.2003;;;;SN;Leipzig;;04275;R.-Lehmann-Str.;8;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004535300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.1;nein;;;nein;null;28.06.2010;;;;SN;Leipzig;;04207;Fürther Str.;38;;
E40770010000010000000004535300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.12;nein;;;nein;null;28.06.2010;;;;SN;Leipzig;;04207;Fürther Str.;38;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004537600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.9;nein;;;nein;null;26.06.2010;;;;SN;Leipzig;;04229;Gießerstr.;64;;
E40770010000010000000004537600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.94;nein;;;nein;null;26.06.2010;;;;SN;Leipzig;;04229;Gießerstr.;64;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000162482;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.0;nein;;nicht regelbar;nein;null;29.09.2010;;;;SN;Leipzig;Holzhausen;04288;Stötteritzer Landstr.;77;;
E41081010000000000000000000162482;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.95;nein;;nicht regelbar;nein;null;29.09.2010;;;;SN;Leipzig;Holzhausen;04288;Stötteritzer Landstr.;77;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000001471800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.6;nein;;;nein;null;28.12.2005;;;;SN;Leipzig;;04207;Lausner Weg;51;;
E40770010000010000000001471800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.61;nein;;;nein;null;28.12.2005;;;;SN;Leipzig;;04207;Lausner Weg;51;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000001452400002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.7;nein;;;nein;null;28.08.2009;;;;SN;Leipzig;;04349;Am Keulenberg;71;;
E40770010000010000000001452400002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.72;nein;;;nein;null;28.08.2009;;;;SN;Leipzig;;04349;Am Keulenberg;71;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004219600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;20.2;nein;;;nein;null;18.12.2009;;;;SN;Leipzig;;04229;Markranstädter Str.;29b;;
E40770010000010000000004219600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;20.25;nein;;;nein;null;18.12.2009;;;;SN;Leipzig;;04229;Markranstädter Str.;29b;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000004246900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.4;nein;;;nein;null;18.12.2009;;;;SN;Leipzig;;04229;Erdmannstr.;16;;
E40770010000010000000004246900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.38;nein;;;nein;null;18.12.2009;;;;SN;Leipzig;;04229;Erdmannstr.;16;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000000493900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.1;nein;;;nein;null;06.02.2004;;;;SN;Leipzig;;04357;Mendelejewstr.;1a;;
E40770010000010000000000493900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.125;nein;;;nein;null;06.02.2004;;;;SN;Leipzig;;04357;Mendelejewstr.;1a;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000001154500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.8;nein;;;nein;null;06.12.2005;;;;SN;Leipzig;;04329;Ilse-Decho-Weg;2;;
E40770010000010000000001154500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.76;nein;;;nein;null;06.12.2005;;;;SN;Leipzig;;04329;Ilse-Decho-Weg;2;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Fehler;;;;;;;;;;;;;;;;;;;
E41081010000000000000000000009969;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Wind;MS;850.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;13.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;
E41081010000000000000000000009969;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Windenergie;MS;850;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;13.06.2006;;;;SN;Leipzig;Hartmannsdorf-Knautnaundorf;04249;Rehbacher Str.;946;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000003008900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.9;nein;;;nein;null;18.07.2008;;;;SN;Leipzig;;04207;Blankenburger Str.;10;;
E40770010000010000000003008900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.87;nein;;;nein;null;18.07.2008;;;;SN;Leipzig;;04207;Blankenburger Str.;10;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000002489800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.5;nein;;;nein;null;14.11.2007;;;;SN;Leipzig;;04207;Diezmannstr.;83;;
E40770010000010000000002489800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.53;nein;;;nein;null;14.11.2007;;;;SN;Leipzig;;04207;Diezmannstr.;83;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000147512;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.2;nein;;nicht regelbar;nein;null;18.12.2009;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;An den Linden;17;;
E41081010000000000000000000147512;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.25;nein;;nicht regelbar;nein;null;18.12.2009;;;;SN;Leipzig;Burghausen-Rückmarsdorf;04178;An den Linden;17;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000133798;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.8;nein;;nicht regelbar;nein;null;15.12.2008;;;;SN;Leipzig;Wiederitzsch;04158;Lönsstr.;18;;
E41081010000000000000000000133798;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;2.75;nein;;nicht regelbar;nein;null;15.12.2008;;;;SN;Leipzig;Wiederitzsch;04158;Lönsstr.;18;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000123649;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.8;nein;;nicht regelbar;nein;null;25.03.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Kastanienallee;28;;
E41081010000000000000000000123649;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;4.76;nein;;nicht regelbar;nein;null;25.03.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Kastanienallee;28;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000126206;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.1;nein;;nicht regelbar;nein;null;10.07.2008;;;;SN;Leipzig;Holzhausen;04288;Untere Nordstr.;10;;
E41081010000000000000000000126206;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.08;nein;;nicht regelbar;nein;null;10.07.2008;;;;SN;Leipzig;Holzhausen;04288;Untere Nordstr.;10;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000127916;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.8;nein;;nicht regelbar;nein;null;31.07.2008;;;;SN;Leipzig;Holzhausen;04288;Arthur-Polenz-Str.;29;;
E41081010000000000000000000127916;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;3.84;nein;;nicht regelbar;nein;null;31.07.2008;;;;SN;Leipzig;Holzhausen;04288;Arthur-Polenz-Str.;29;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E40770010000010000000005632900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.2;nein;;;nein;null;17.12.2011;;;;SN;Leipzig;;04357;Friedrichshafener Str.;242;;
E40770010000010000000005632900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.16;nein;;;nein;null;17.12.2011;;;;SN;Leipzig;;04357;Friedrichshafener Str.;242;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000165221;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.4;nein;;nicht regelbar;nein;null;18.12.2010;;;;SN;Leipzig;Engelsdorf;04319;Hussitenstr.;6;;
E41081010000000000000000000165221;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.43;nein;;nicht regelbar;nein;null;18.12.2010;;;;SN;Leipzig;Engelsdorf;04319;Hussitenstr.;6;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;
E41081010000000000000000000134777;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;MS;44.3;ja;;regelbar nach § 6 Abs. 2 EEG;nein;null;19.12.2008;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Lützschenaer Str.;100;;
