Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000117363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;5.5;;;;nein;null;08.06.2007;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;39;;;50hertz.com
E40770010000010000000002045600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;29.7;;;;nein;null;25.05.2007;;;;SN;Leipzig;;04107;Beethovenstr.;15;;;50hertz.com
E41081010000000000000000000011732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;1.7;;;;nein;null;13.06.2005;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Niederholz;30;;;50hertz.com
E41081010000000000000000000153369;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;23.6;;;;nein;null;20.04.2010;;;;SN;Leipzig;Mölkau;04316;Handwerkerhof;11;;;50hertz.com
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.2;;;;nein;null;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;;50hertz.com
E40770010000010000000004538600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.6;;;;nein;null;30.06.2010;;;;SN;Leipzig;;04129;Maximilianallee;17;;;50hertz.com
E40770010000010000000004796300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;17.0;;;;nein;null;25.10.2010;;;;SN;Leipzig;;04157;Rudi-Opitz-Str.26;;;;50hertz.com
E40770010000010000000004836900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;391.0;;;;nein;null;22.12.2010;;;;SN;Leipzig;;04229;Windorfer Str.;63;;;50hertz.com
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.9;;;;nein;null;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;;50hertz.com
E40770010000010000000004858200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.3;;;;nein;null;30.11.2010;;;;SN;Leipzig;;04249;Nimrodstr.;60;;;50hertz.com
