Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;;
E41081010000000000000000000117363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.5;nein;SOP;nicht regelbar;nein;null;08.06.2007;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;39;;;50hertz.com
E41081010000000000000000000117363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.5;nein;;nicht regelbar;;;08.06.2007;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;39;;;eeg-kwk.net
E41081010000000000000000000117363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;6;;SOP;;;;08.06.2007;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;39;;;MitNetz.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;;
E41081010000000000000000000011732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.7;nein;SOP;nicht regelbar;nein;null;13.06.2005;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Niederholz;30;;;50hertz.com
E41081010000000000000000000011732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.7;nein;;nicht regelbar;;;13.06.2005;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Niederholz;30;;;eeg-kwk.net
E41081010000000000000000000011732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;2;;SOP;;;;13.06.2005;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Niederholz;30;;;MitNetz.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;;
E41081010000000000000000000153369;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;23.6;nein;SOP;nicht regelbar;nein;null;20.04.2010;;;;SN;Leipzig;Mölkau;04316;Handwerkerhof;11;;;50hertz.com
E41081010000000000000000000153369;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;23.6;nein;;nicht regelbar;;;20.04.2010;;;;SN;Leipzig;Mölkau;04316;Handwerkerhof;11;;;eeg-kwk.net
E41081010000000000000000000153369;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;;Solar;NS;24;;SOP;;;;20.04.2010;;;;SN;Leipzig;Mölkau;04316;Handwerkerhof;11;;;MitNetz.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;;
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.2;nein;;;nein;null;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;;50hertz.com
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.25;nein;;;;;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;;eeg-kwk.net
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.250;;;;;;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;;
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.9;nein;;;nein;null;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;;50hertz.com
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.92;nein;;;;;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;;eeg-kwk.net
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.920;;;;;;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Fehler;;;;;;;;;;;;;;;;;;
