Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E41081010000000000000000000117363;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;5.5;nein;SOP;nicht regelbar;nein;null;08.06.2007;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Luppenaue;39;;;eeg-kwk.net
E41081010000000000000000000011732;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.7;nein;SOP;nicht regelbar;nein;null;13.06.2005;;;;SN;Leipzig;Liebertwolkwitz;04288;Am Niederholz;30;;;eeg-kwk.net
E41081010000000000000000000153369;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;23.6;nein;SOP;nicht regelbar;nein;null;20.04.2010;;;;SN;Leipzig;Mölkau;04316;Handwerkerhof;11;;;eeg-kwk.net
E40770010000010000000004536600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;2.25;nein;;;nein;null;30.06.2010;;;;SN;Leipzig;;04277;Windscheidstr.;41a;;;eeg-kwk.net
E40770010000010000000004669800002;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.92;nein;;;nein;null;26.09.2010;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;;eeg-kwk.net
E40770010000010000000004858200001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.32;nein;;;nein;null;30.11.2010;;;;SN;Leipzig;;04249;Nimrodstr.;60;;;eeg-kwk.net
E40770010000010000000004857600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.63;nein;;;nein;null;28.10.2010;;;;SN;Leipzig;;04229;Weißenfelser Str.;33;;;eeg-kwk.net
E41081010000000000000000000138639;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;15.5;nein;SOP;nicht regelbar;nein;null;21.08.2009;;;;SN;Leipzig;Lindenthal;04158;Lindenthaler Hauptstr.;26;;;eeg-kwk.net
E40770010000010000000000496700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.13;nein;;;nein;null;22.05.2003;;;;SN;Leipzig;;04159;Defoestr.;5;;;eeg-kwk.net
E40770010000010000000000559400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;1.92;nein;;;nein;null;09.06.2003;;;;SN;Leipzig;;04275;R.-Lehmann-Str.;8;;;eeg-kwk.net
E40770010000010000000004535300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;6.12;nein;;;nein;null;28.06.2010;;;;SN;Leipzig;;04207;Fürther Str.;38;;;eeg-kwk.net
E40770010000010000000004537600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.94;nein;;;nein;null;26.06.2010;;;;SN;Leipzig;;04229;Gießerstr.;64;;;eeg-kwk.net
E41081010000000000000000000162482;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.95;nein;SOP;nicht regelbar;nein;null;29.09.2010;;;;SN;Leipzig;Holzhausen;04288;Stötteritzer Landstr.;77;;;eeg-kwk.net
E40770010000010000000001471800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;5.61;nein;;;nein;null;28.12.2005;;;;SN;Leipzig;;04207;Lausner Weg;51;;;eeg-kwk.net
