Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück
E40770010000010000000002045600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.7;nein;;;nein;null;25.05.2007;;;;SN;Leipzig;;04107;Beethovenstr.;15;;
E40770010000010000000004538600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;30.06.2010;;;;SN;Leipzig;;04129;Maximilianallee;17;;
E40770010000010000000004796300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;17.0;nein;;;nein;null;25.10.2010;;;;SN;Leipzig;;04157;Rudi-Opitz-Str.26;;;
E40770010000010000000004836900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;391.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;22.12.2010;;;;SN;Leipzig;;04229;Windorfer Str.;63;;
E40770010000010000000004858500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;12.0;nein;;;nein;null;23.12.2010;;;;SN;Leipzig;;04249;Gerhard-Ellrodt-Str.;24;;
E40770010000010000000004397100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.2;nein;;;nein;null;31.03.2010;;;;SN;Leipzig;;04299;Prager Str.;199;;
E40770010000010000000004397300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;06.04.2010;;;;SN;Leipzig;;04349;Donarstr.;32;;
E40770010000010000000004562100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;25.6;nein;;;nein;null;27.04.2010;;;;SN;Leipzig;;04249;Kunzestr.;16;;
E40770010000010000000004537000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;49.0;nein;;;nein;null;25.06.2010;;;;SN;Leipzig;;04249;Kunzestr.;20;;
E40770010000010000000004532900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;23.06.2010;;;;SN;Leipzig;;04129;Brodauer Weg;13;;
E41081010000000000000000000196807;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;6.0;nein;SOP;regelbar nach § 6 Abs. 2 EEG;nein;null;15.08.2012;;;;SN;Leipzig;Böhlitz-Ehrenberg;04178;Burghausener Str.;16;;
E41081010000000000000000000034475;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;8.0;nein;SOP;nicht regelbar;nein;null;27.03.2007;;;;SN;Leipzig;Holzhausen;04288;Richard-Springer-Weg;31;;
E40770010000010000000004499400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;14.4;nein;;;nein;null;01.06.2010;;;;SN;Leipzig;;04205;Horburger Str.;97;;
E40770010000010000000004534600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;08.06.2010;;;;SN;Leipzig;;04205;Liebensteiner Weg;8;;
E40770010000010000000002090300001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.5;nein;;;nein;null;03.08.2007;;;;SN;Leipzig;;04159;Dantestr.;20;;
E40770010000010000000001452400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;14.07.2006;;;;SN;Leipzig;;04349;Am Keulenberg;71;;
E40770010000010000000004230400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;01.12.2009;;;;SN;Leipzig;;04329;Hornissenwinkel;27;;
E40770010000010000000004236600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;29.0;nein;;;nein;null;29.10.2009;;;;SN;Leipzig;;04317;Samuel-Lampel-Str.;26;;
E40770010000010000000004236800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;56.0;nein;;;nein;null;17.12.2009;;;;SN;Leipzig;;04249;Kunzestr.;18;;
E40770010000010000000004230900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;16.6;nein;;;nein;null;11.12.2009;;;;SN;Leipzig;;04179;Sattelhofstr.;7;;
E41081010000000000000000000007124;50Hertz;Mitteldeutsche Netzgesellschaft Strom mbH;10001645;Solar;NS;1.0;nein;SOP;nicht regelbar;nein;null;15.03.2001;;;;SN;Leipzig;Holzhausen;04288;Feldstr.;10;;
E40770010000010000000004641800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;9.6;nein;;;nein;null;24.08.2010;;;;SN;Leipzig;;04177;Hebelstr.;16;;
E40770010000010000000002751500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.0;nein;;;nein;null;28.04.2008;;;;SN;Leipzig;;04289;Romain-Rolland-Weg;3;;
E40770010000010000000005952100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.2;nein;;;nein;null;02.08.2012;;;;SN;Leipzig;;04249;Weigandtstr.;31;;
