Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
E40770010000010000000004273600001;50Hertz;Netz Leipzig GmbH;;Wasser;NS;5.000;;;;;;10.09.2009;;;;SN;Leipzig;;04279;Vollhardtstr.;16;;;NetzLeipzig.pdf
E40770010000209311801949960000001;50Hertz;Netz Leipzig GmbH;;Wind;MS;600.000;;;;;;02.12.1996;;;;SN;Leipzig;;04249;Seebenischer Straße;;;;NetzLeipzig.pdf
E40770010000209311801949960000002;50Hertz;Netz Leipzig GmbH;;Wind;MS;800.000;;;;;;04.05.2006;;;;SN;Leipzig;;04249;Seebenischer Straße;;;;NetzLeipzig.pdf
E40770010000010000000001452500001;50Hertz;Netz Leipzig GmbH;;Bio;NS;25.000;;;;;;12.04.2006;;;;SN;Leipzig;;04315;Paulinenstr.;13;;;NetzLeipzig.pdf
E40770010000010000000004783800001;50Hertz;Netz Leipzig GmbH;;Bio;MS;0.000;;;;;;01.12.2010;31.12.2011;;;SN;Leipzig;;04347;Braunstr; 7;;;NetzLeipzig.pdf
E40770010000010000000000476400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.120;;;;;;17.06.1993;;;;SN;Leipzig;;04157;Heinrich-Büchner-Str.;12;;;NetzLeipzig.pdf
E40770010000010000000000563200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.180;;;;;;17.05.1993;;;;SN;Leipzig;;04109;Mainzer Str.;11;;;NetzLeipzig.pdf
E40770010000010000000000477400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.200;;;;;;13.04.1994;;;;SN;Leipzig;;04289;Anzengruberstr.;4;;;NetzLeipzig.pdf
E40770010000010000000000477600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.000;;;;;;05.05.2000;;;;SN;Leipzig;;04279;Eigenheimstr.;10b;;;NetzLeipzig.pdf
E40770010000010000000000477800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.200;;;;;;16.11.2000;;;;SN;Leipzig;;04299;Sonnenwinkel;16;;;NetzLeipzig.pdf
E40770010000010000000000478000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.840;;;;;;20.07.2000;;;;SN;Leipzig;;04109;Nikolaikirchhof;3;;;NetzLeipzig.pdf
E40770010000010000000000486300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.200;;;;;;24.10.2000;;;;SN;Leipzig;;04207;Lausner Weg;36b;;;NetzLeipzig.pdf
E40770010000010000000000477700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.720;;;;;;07.11.2001;;;;SN;Leipzig;;04249;Menzingerweg;31;;;NetzLeipzig.pdf
E40770010000010000000000479200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.000;;;;;;16.05.2001;;;;SN;Leipzig;;04249;Seumestr.;34c;;;NetzLeipzig.pdf
E40770010000010000000000479700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.600;;;;;;04.04.2001;;;;SN;Leipzig;;04249;Badeweg;47c;;;NetzLeipzig.pdf
E40770010000010000000000480300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.000;;;;;;29.05.2001;;;;SN;Leipzig;;04277;Eichendorfstr.;7;;;NetzLeipzig.pdf
E40770010000010000000000480600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.500;;;;;;27.06.2001;;;;SN;Leipzig;;04289;Corotweg;16;;;NetzLeipzig.pdf
E40770010000010000000000496200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.000;;;;;;04.10.2001;;;;SN;Leipzig;;04249;Häußerweg;11;;;NetzLeipzig.pdf
E40770010000010000000000496500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;9.200;;;;;;14.03.2001;;;;SN;Leipzig;;04328;Geithainerstr.;60;;;NetzLeipzig.pdf
E40770010000010000000000610000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.000;;;;;;27.09.2001;;;;SN;Leipzig;;04317;Witzgallstr.;20;;;NetzLeipzig.pdf
E40770010000010000000000233400001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.200;;;;;;28.10.2002;;;;SN;Leipzig;;04249;Lauerscher Weg;;;;NetzLeipzig.pdf
E40770010000010000000000486600001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.100;;;;;;22.02.2002;;;;SN;Leipzig;;04105;Fregestr.;28;;;NetzLeipzig.pdf
E40770010000010000000000486700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.700;;;;;;26.09.2002;;;;SN;Leipzig;;04249;Hubertusstr.;115;;;NetzLeipzig.pdf
E40770010000010000000000487300001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.600;;;;;;29.11.2002;;;;SN;Leipzig;;04229;Schleußiger Weg;8;;;NetzLeipzig.pdf
E40770010000010000000000487500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.120;;;;;;12.12.2002;;;;SN;Leipzig;;04157;Coppistr.;57;;;NetzLeipzig.pdf
E40770010000010000000000487800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.130;;;;;;19.12.2002;;;;SN;Leipzig;;04207;Ansbacher Str.;11;;;NetzLeipzig.pdf
E40770010000010000000000487900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3.020;;;;;;13.12.2002;;;;SN;Leipzig;;04155;Stallbaumstr.;5;;;NetzLeipzig.pdf
E40770010000010000000000488000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.760;;;;;;19.12.2002;;;;SN;Leipzig;;04347;Lazarusstr.;15;;;NetzLeipzig.pdf
E40770010000010000000000497000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;8.640;;;;;;08.11.2002;;;;SN;Leipzig;;04249;Knautnaundorfer Str.;4;;;NetzLeipzig.pdf
E40770010000140961701980220000001;50Hertz;Netz Leipzig GmbH;;Solar;NS;1.410;;;;;;11.12.2002;;;;SN;Leipzig;;04277;Arno-Nitzsche-Str.;35;;;NetzLeipzig.pdf
E40770010000010000000000492700001;50Hertz;Netz Leipzig GmbH;;Solar;NS;2.100;;;;;;25.08.2003;;;;SN;Leipzig;;04249;Gleitsmannstr.;6;;;NetzLeipzig.pdf
E40770010000010000000000493200001;50Hertz;Netz Leipzig GmbH;;Solar;NS;5.000;;;;;;06.11.2003;;;;SN;Leipzig;;04159;Swiftstr.;15;;;NetzLeipzig.pdf
E40770010000010000000000493500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;4.900;;;;;;29.10.2003;;;;SN;Leipzig;;04249;Seumestr.;135;;;NetzLeipzig.pdf
