Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fehler;;;;;;;;;;;;
E40770010000010000000005863500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;20.03.2012;;;;SN;Leipzig;;04357;Gontscharowstr.;23;;;50hertz.com
E40770010000010000000005863500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3;nein;;;;;02.07.2012;;;;SN;Leipzig;;04357;Gontscharowstr.;23;;;eeg-kwk.net
E40770010000010000000005863500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;3000;;;;;;02.07.2012;;;;SN;Leipzig;;04357;Gontscharowstr.;23;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fehler;;;;;;;;;;;;
E40770010000010000000005666500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.8;nein;;70 % Begrenzung;nein;null;28.03.2012;;;;SN;Leipzig;;04205;Lauschaer Weg;5;;;50hertz.com
E40770010000010000000005666500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.8;nein;;70 % Begrenzung;;;27.04.2012;;;;SN;Leipzig;;04205;Lauschaer Weg;5;;;eeg-kwk.net
E40770010000010000000005666500001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7800;;;;;;27.04.2012;;;;SN;Leipzig;;04205;Lauschaer Weg;5;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Fehler;;;;;;;;;;;;
E40770010000010000000005673800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.0;nein;;70 % Begrenzung;nein;null;30.03.2012;;;;SN;Leipzig;;04177;Jordanstr.;1;;;50hertz.com
E40770010000010000000005673800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7;nein;;70 % Begrenzung;;;27.04.2012;;;;SN;Leipzig;;04177;Jordanstr.;1;;;eeg-kwk.net
E40770010000010000000005673800001;50Hertz;Netz Leipzig GmbH;;Solar;NS;7000;;;;;;27.04.2012;;;;SN;Leipzig;;04177;Jordanstr.;1;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;Fehler;;;;;;;;;;;;
E40770010000010000000006081100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;150.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;25.09.2012;;;;SN;Leipzig;;04347;Brahestr.1;;;;50hertz.com
E40770010000010000000006081100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;150;ja;;regelbar nach § 6 Abs. 1 EEG;;;25.09.2012;;;;SN;Leipzig;;04347;Brahestr.1;;;;eeg-kwk.net
E40770010000010000000006081100001;50Hertz;Netz Leipzig GmbH;;Solar;NS;150000;;;;;;25.07.2012;;;;SN;Leipzig;;04347;Brahestr.1;;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;

;;;;Fehler;;;;;;;;;;;;;;;;;;;;
E40770010000010000000006216900001;50Hertz;Netz Leipzig GmbH;10001882;Bio;NS;19.0;nein;;;nein;null;28.08.2012;;;;SN;Leipzig;;04155;Lindenthaler Str.;19;;;50hertz.com
E40770010000010000000006216900001;50Hertz;Netz Leipzig GmbH;10001882;Bio;NS;19;nein;;;;;28.08.2012;;;;SN;Leipzig;;04155;Lindenthaler Str.;19;;;eeg-kwk.net
E40770010000010000000006216900001;50Hertz;Netz Leipzig GmbH;;Solar;NS;19000;;;;;;28.08.2012;;;;SN;Leipzig;;04155;Lindenthaler Str.;19;;;NetzLeipzig.pdf
;;;;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;Fehler;;;;;;;;;;;;
E40770010000010000000005997900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.5;nein;;;nein;null;30.07.2012;;;;SN;Leipzig;;04357;Lermontowstr.;36;;;50hertz.com
