Anlagenschlüssel;Übertragungsnetzbetreiber;Netzbetreiber;Netzbetreiber Betriebsnummer;Energieträger;Einspeisungsebene;Leistung;Leistungsgemessene Anlage;Zeitreihentyp;Regelbarkeit;Biomasse KWK-Anteil;Biomassetechnologie;Zeitpunkt der Inbetriebnahme;Zeitpunkt der Ausserbetriebnahme;Zeitpunkt des Netzzugangs;Zeitpunkt des Netzabgangs;Bundeslandkürzel;Ort;Ortsteil;PLZ;Strasse;Nummer;Flur;Flurstück;Quelle;
E40770010000010000000005863500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;3.0;nein;;;nein;null;20.03.2012;;;;SN;Leipzig;;4357;Gontscharowstr.;23;;;50hertz.com;Inbetriebnahme-Datum: 02.07.2012
E40770010000010000000005666500001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.8;nein;;70 % Begrenzung;nein;null;28.03.2012;;;;SN;Leipzig;;4205;Lauschaer Weg;5;;;50hertz.com;Inbetriebnahme-Datum: 27.04.2012
E40770010000010000000005673800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.0;nein;;70 % Begrenzung;nein;null;30.03.2012;;;;SN;Leipzig;;4177;Jordanstr.;1;;;50hertz.com;Inbetriebnahme-Datum:27.04.2012
E40770010000010000000006081100001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;150.0;ja;;regelbar nach § 6 Abs. 1 EEG;nein;null;25.09.2012;;;;SN;Leipzig;;4347;Brahestr.1;;;;50hertz.com;Inbetriebnahme-Datum: 25.07.2012
E40770010000010000000006216900001;50Hertz;Netz Leipzig GmbH;10001882;Bio;NS;19.0;nein;;;nein;null;28.08.2012;;;;SN;Leipzig;;4155;Lindenthaler Str.;19;;;50hertz.com;Energieträger: Solar
E40770010000010000000005997900001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.5;nein;;;nein;null;30.07.2012;;;;SN;Leipzig;;4357;Lermontowstr.;36;;;50hertz.com;Inbetriebnahme-Datum: 09.08.2012
E40770010000010000000005972800001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;;nein;null;13.09.2012;;;;SN;Leipzig;;4289;Schwarzenbergweg;6;;;50hertz.com;Inbetriebnahme-Datum: 14.09.2012
E40770010000010000000005911700001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;8.0;nein;;;nein;null;20.07.2012;;;;SN;Leipzig;;4347;Taubestr.;54;;;50hertz.com;Inbetriebnahme-Datum: 30.04.2012
E40770010000010000000006129400001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;7.0;nein;;;nein;null;23.11.2012;;;;SN;Leipzig;;4349;Hainburger Weg;43;;;50hertz.com;Inbetriebnahme-Datum: 30.10.2012
E40770010000010000000005792000001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;4.6;nein;;70 % Begrenzung;nein;null;21.12.2011;;;;SN;Leipzig;;4159;Georg-Schumann-Str.;317;;;50hertz.com;Inbetriebnahme-Datum: 20.03.2012
E40770010000010000000005727600001;50Hertz;Netz Leipzig GmbH;10001882;Solar;NS;10.0;nein;;regelbar nach § 6 Abs. 2 EEG;nein;null;23.03.2012;;;;SN;Leipzig;;4357;Herzenstr.;74;;;50hertz.com;Inbetriebnahme-Datum: 04.04.2012
